key,en,hi
"reviewPromptSuccessTitle","Review Submitted!","समीक्षा जमा हो गई!"
"reviewPromptTitle","Rate Your Interaction","अपने इंटरैक्शन को रेट करें"
"reviewsAverage","average","औसत"
"reviewsLoadMore","Load More Reviews","और समीक्षाएं लोड करें"
"reviewsNoReviewsYet","No reviews yet","अभी तक कोई समीक्षा नहीं"
"reviewsRetryMessage","Please retry to load the latest reviews.","कृपया नवीनतम समीक्षाएं लोड करने के लिए पुनः प्रयास करें।"
"reviewsTitle","Reviews & Comments","समीक्षाएं और टिप्पणियां"
"reviewsTotal","total","कुल"
"reviewsUnableToLoad","Unable to load reviews","समीक्षाएं लोड करने में असमर्थ"
"reviewsWillAppearHere","Reviews will appear here after interactions","इंटरैक्शन के बाद यहां समीक्षाएं दिखाई देंगी"
"settingsConnectedSurfacesTitle","Connected surfaces","जुड़े सतह"
"settingsLanguageHelper","Hindi is the launch default. You can switch to English here.","लॉन्च पर डिफ़ॉल्ट भाषा हिंदी है। चाहें तो यहाँ से English चुन सकते हैं।"
"settingsLanguageHindi","Hindi","हिंदी"
"settingsLanguageLabel","Language","भाषा"
"settingsLanguageSaveFailed","We could not save your language preference right now. Retry shortly from settings.","अभी आपकी भाषा पसंद सेव नहीं हो सकी। थोड़ी देर बाद settings से फिर कोशिश करें।"
"settingsLanguageSavedEnglish","Language saved: English","भाषा सेव हुई: English"
"settingsLanguageSavedHindi","Language saved: Hindi","भाषा सेव हुई: हिंदी"
"settingsLanguageSaving","Saving language preference...","भाषा पसंद सेव की जा रही है..."
"settingsNotificationsValue","In-app inbox and push status controls are available here.","इन-ऐप इनबॉक्स और पुश स्थिति नियंत्रण यहाँ उपलब्ध हैं।"
"settingsPreferencesTitle","Preferences","प्राथमिकताएँ"
"settingsPushGuidanceValue","{status, select, allowed {Foreground and opened push flows are enabled when Firebase delivery is configured.} allowed_quietly {Push is allowed quietly. You can promote alerts in the device notification settings if needed.} blocked {Push notifications are blocked. Open your device notification settings for TranZfort to enable alerts again.} not_requested {Push permission has not been requested yet on this device session.} unavailable {Push runtime is unavailable here until Firebase/device support is fully configured.} other {Push runtime is unavailable here until Firebase/device support is fully configured.}}","{status, select, allowed {फायरबेस डिलीवरी कॉन्फ़िगर होने पर अग्रभूमि और खुली पुश प्रवाह सक्षम रहते हैं।} allowed_quietly {पुश शांत रूप से अनुमति दी गई है। ज़रूरत हो तो डिवाइस सूचना सेटिंग्स में अलर्ट प्रमोट कर सकते हैं।} blocked {पुश सूचनाएँ ब्लॉक हैं। अलर्ट फिर से सक्षम करने के लिए TranZfort की डिवाइस सूचना सेटिंग्स खोलें।} not_requested {इस device session पर push permission अभी request नहीं की गई है।} unavailable {Firebase/device support पूरी तरह configured होने तक यहाँ push runtime उपलब्ध नहीं है।} other {Firebase/device support पूरी तरह configured होने तक यहाँ push runtime उपलब्ध नहीं है।}}"
"settingsPushNotificationsTitle","Push notifications","पुश सूचनाएँ"
"settingsPushRefreshStatus","Refresh status","स्थिति रीफ्रेश"
"settingsPushRequestPermission","Request permission","अनुमति अनुरोध"
"settingsPushStatusLabel","Status","स्थिति"
"settingsPushStatusUnavailableMessage","Unable to read device notification permission right now. Refresh after Firebase/device support is available.","अभी डिवाइस सूचना अनुमति नहीं पढ़ी जा सकी। फायरबेस/डिवाइस सहायता उपलब्ध होने के बाद रीफ्रेश करें।"
"settingsPushStatusUnavailableTitle","Push notification status unavailable","पुश सूचना स्थिति उपलब्ध नहीं है"
"settingsPushStatusValue","{status, select, allowed {Allowed} allowed_quietly {Allowed quietly} blocked {Blocked in system settings} not_requested {Not requested yet} unavailable {Unavailable on this device/build} other {Unavailable}}","{status, select, allowed {अनुमति दी गई} allowed_quietly {शांत रूप से अनुमति दी गई} blocked {सिस्टम सेटिंग्स में ब्लॉक है} not_requested {अभी तक अनुरोध नहीं किया गया} unavailable {इस डिवाइस/build पर उपलब्ध नहीं} other {इस डिवाइस/build पर उपलब्ध नहीं}}"
"settingsRoleContextLabel","Role context","भूमिका संदर्भ"
"settingsRoleSentenceEn","Current role: {roleLabel}.","वर्तमान भूमिका: {roleLabel}।"
"settingsRoleSentenceHi","Current role: {roleLabel}.","वर्तमान भूमिका: {roleLabel}।"
"settingsTitle","Settings","सेटिंग्स"
"settingsTtsSummary","Settings screen. Language is set to {selectedLanguageLabel}. Voice guidance is manual right now. Notifications are enabled through the in-app inbox.{roleSentence}","सेटिंग्स स्क्रीन। भाषा {selectedLanguageLabel} पर सेट है। आवाज मार्गदर्शन अभी मैनुअल है। सूचनाएँ इन-ऐप इनबॉक्स के माध्यम से सक्षम हैं।{roleSentence}"
"settingsVoiceAssistanceLabel","Voice assistance","आवाज सहायता"
"settingsVoiceAssistanceValue","Manual contextual summaries are available from supported screens.","समर्थित स्क्रीन पर मैनुअल संदर्भित सारांश उपलब्ध हैं।"
"shellAccessRestrictedBannedSubtitle","Your account access is restricted. Signing you out safely...","आपके खाते एक्सेस पर प्रतिबंध है। आपको सुरक्षित रूप से साइन आउट किया जा रहा है..."
"shellAccessRestrictedDeactivatedSubtitle","Your account is deactivated pending cleanup. Signing you out safely...","आपका खाता क्लीनअप पेंडिंग होने तक डिएक्टिवेटेड है। आपको सुरक्षित रूप से साइन आउट किया जा रहा है..."
"shellAccessRestrictedTitle","Access restricted","एक्सेस प्रतिबंधित"
"shellDrawerFleet","Fleet","फ्लीट"
"shellDrawerSignOut","Sign out","साइन आउट"
"shellDrawerSupplierWorkspace","Supplier workspace","सप्लायर वर्कस्पेस"
"shellDrawerTruckerWorkspace","Trucker workspace","ट्रकर वर्कस्पेस"
"shellMessagesActiveConversations","{count} active conversations - {preview}","{count} सक्रिय बातचीत - {preview}"
"shellMessagesBookingStatusValue","{status, select, submitted {Submitted} approved {Approved} rejected {Rejected} pending {Pending} unknown {Unknown} other {Unknown}}","{status, select, submitted {जमा किया गया} approved {स्वीकृत} rejected {अस्वीकृत} pending {लंबित} unknown {अज्ञात} other {अज्ञात}}"
"shellMessagesEmptyTitle","No conversations yet","अभी कोई बातचीत नहीं है"
"shellMessagesHideTruckerConversations","Hide trucker conversations","ट्रकर बातचीत छिपाएँ"
"shellMessagesLoadFailureMessage","We could not load your messages right now. Retry shortly to refresh the latest conversations.","अभी आपके संदेश लोड नहीं हो सके। नवीनतम बातचीत रिफ्रेश करने के लिए थोड़ी देर बाद फिर कोशिश करें।"
"shellMessagesLoadFailureTitle","Could not load messages","संदेश लोड नहीं हो सके"
"shellMessagesReadStatus","Read","पढ़ा"
"shellMessagesSupplierEmptySubtitle","Load-linked trucker conversations will appear here after the first message arrives.","पहला संदेश आने के बाद यहाँ लोड-लिंक्ड ट्रकर बातचीत दिखेंगी।"
"shellMessagesSupplierGroupedInbox","Grouped inbox","ग्रुप्ड इनबॉक्स"
"shellMessagesSupplierSubtitle","Track load-linked conversations with truckers and reply quickly from one place.","एक ही जगह से लोड-लिंक्ड ट्रकर बातचीत ट्रैक करें और जल्दी जवाब दें।"
"shellMessagesTitle","Messages","संदेश"
"shellMessagesTruckerEmptySubtitle","Start a chat by booking a load and your supplier conversations will show here.","किसी लोड पर चैट शुरू करें और आपकी सप्लायर बातचीत यहाँ दिखेंगी।"
"shellMessagesTruckerFlatInbox","Flat inbox","फ्लैट इनबॉक्स"
"shellMessagesTruckerSubtitle","Stay on top of supplier updates, route context, and booking follow-through in one inbox.","एक इनबॉक्स में सप्लायर अपडेट्स, रूट संदर्भ और बुकिंग फॉलो-थ्रू पर नज़र रखें।"
"shellMessagesUnreadStatus","Unread","अनरीड"
"shellMessagesUnreadThreads","{count} unread threads","{count} अनरीड थ्रेड्स"
"shellQuickActionTrips","Trips","ट्रिप्स"
"shellRouteNotFoundTitle","Route not found","मार्ग नहीं मिला"
"shellSignOutFailureMessage","We could not sign you out right now. Retry shortly.","अभी साइन आउट नहीं हो सका। थोड़ी देर बाद फिर कोशिश करें।"
"shellTabFind","Find","खोजें"
"shellTabHome","Home","होम"
"shellTabLoads","Loads","लोड्स"
"shellTabTrips","Trips","ट्रिप्स"
"shellTitleFindLoads","Find Loads","लोड्स खोजें"
"shellTitleMyLoads","My Loads","मेरे लोड्स"
"shellTitleSupplierDashboard","Supplier dashboard","सप्लायर डैशबोर्ड"
"supplierBookingApproveDialogMessage","Approve booking for {material} from {origin} to {destination}?","{material} के लिए {origin} से {destination} तक की बुकिंग स्वीकृत करें?"
"supplierBookingApproveDialogTitle","Approve booking","बुकिंग स्वीकृत करें"
"supplierBookingApprovedSuccessMessage","Booking approved successfully","बुकिंग सफलतापूर्वक स्वीकृत हुई"
"supplierBookingDecisionRecorded","Decision recorded {decidedAt}","निर्णय दर्ज किया गया {decidedAt}"
"supplierBookingRatingLabel","Rating: {rating}","रेटिंग: {rating}"
"supplierBookingRejectDialogSubtitle","Add a short reason before rejecting this booking.","बुकिंग अस्वीकृत करने से पहले छोटा कारण लिखें।"
"supplierBookingRejectDialogTitle","Reject booking","बुकिंग अस्वीकृत करें"
"supplierBookingRejectReasonHint","Example: vehicle mismatch or route timing issue","उदाहरण: वाहन मेल नहीं खाता या समय समस्या"
"supplierBookingRejectReasonLabel","Reason","कारण"
"supplierBookingRejectedSuccessMessage","Booking rejected successfully","बुकिंग सफलतापूर्वक अस्वीकृत हुई"
"supplierBookingSubmittedAt","{truckLabel} - Submitted {submittedAt}","{truckLabel} - जमा किया गया {submittedAt}"
"supplierBookingTyres","{tyres} tyres","{tyres} टायर"
"supplierBookingVerifiedLabel","Verified","सत्यापित"
"supplierCompleteSetupMessage","Complete supplier verification and add your company details before using the full supplier workspace.","Full supplier workspace use करने से पहले supplier verification पूरी करें और अपनी company details जोड़ें।"
"supplierCompleteSetupTitle","Complete your supplier setup","अपना सप्लायर सेटअप पूरा करें"
"supplierCompleteVerification","Complete verification","सत्यापन पूरा करें"
"supplierDashboardAccountStateUnavailableMessage","We could not load your current supplier account state right now. Retry shortly to restore the latest verification and company details.","अभी आपकी current supplier account state लोड नहीं हो सकी। Latest verification और company details restore करने के लिए थोड़ी देर बाद फिर कोशिश करें।"
"supplierDashboardAccountStateUnavailableTitle","Supplier account state unavailable","सप्लायर अकाउंट स्टेट उपलब्ध नहीं है"
"supplierDashboardLoadFailureMessage","We could not load your supplier dashboard right now. Retry shortly to refresh the latest overview metrics.","अभी आपका supplier dashboard लोड नहीं हो सका। Latest overview metrics refresh करने के लिए थोड़ी देर बाद फिर कोशिश करें।"
"supplierDashboardLoadFailureTitle","Unable to load your supplier dashboard","आपका supplier dashboard लोड नहीं हो सका"
"supplierDashboardNoLoadsPostedSubtitle","Post your first supplier load to start receiving booking requests and linked trip activity.","अपना पहला supplier load post करें ताकि booking requests और linked trip activity शुरू हो सके।"
"supplierDashboardNoLoadsPostedTitle","No loads posted yet","अभी कोई load post नहीं किया गया"
"supplierDashboardOpenLoadsWorkspace","Open loads workspace","लोड्स वर्कस्पेस खोलें"
"supplierDashboardOpenMyLoadsAction","Open my loads","मेरे लोड्स खोलें"
"supplierDashboardOverviewTitle","Dashboard overview","डैशबोर्ड ओवरव्यू"
"supplierDashboardPostLoadAction","Post Load","लोड पोस्ट करें"
"supplierDashboardQuickActionChatLabel","Chat","चैट"
"supplierDashboardQuickActionsTitle","Quick actions","त्वरित कार्रवाइयाँ"
"supplierDashboardRecentLoadsUnavailableMessage","We could not load your recent supplier loads right now. Retry shortly to refresh the latest load list.","अभी आपके recent supplier loads लोड नहीं हो सके। Latest load list refresh करने के लिए थोड़ी देर बाद फिर कोशिश करें।"
"supplierDashboardRecentLoadsUnavailableTitle","Recent loads unavailable","रीसेंट लोड्स उपलब्ध नहीं हैं"
"supplierDashboardStatsActiveLoadsLabel","Active loads","सक्रिय लोड्स"
"supplierDashboardStatsCompletedTripsLabel","Completed trips","पूरी हुई ट्रिप्स"
"supplierDashboardStatsInTransitTripsLabel","Trips in transit","चल रही ट्रिप्स"
"supplierDashboardStatsPendingBookingsLabel","Pending bookings","लंबित बुकिंग्स"
"supplierDashboardSuperLoadBadge","Super Load - {status}","सुपर लोड - {status}"
"supplierDashboardSuperLoadBusinessLicenceMissing","Business licence missing","व्यवसाय लाइसेंस अनुपस्थित है"
"supplierDashboardSuperLoadBusinessLicenceOnFile","Business licence on file","व्यवसाय लाइसेंस दर्ज है"
"supplierDashboardSuperLoadCompanyAgeUnavailable","Company-age readiness unavailable in current app data","वर्तमान ऐप डेटा में कंपनी-आयु तैयारी उपलब्ध नहीं है"
"supplierDashboardSuperLoadGuidanceValue","{status, select, request_submitted {This Super Load request is submitted and waiting for admin review. The dedicated supplier-side eligibility controls are still pending, so current state is admin-managed.} under_review {This Super Load request is under admin review. Keep load details stable while review is in progress.} approved_payment_pending {This Super Load request is approved, but activation still depends on the off-platform payment confirmation step.} rejected {This Super Load request was not approved. Use support if you need follow-up while the dedicated supplier readiness surface is still pending.} expired_or_closed {This Super Load lifecycle is closed. Review the current load status and use support if follow-up is still needed.} active {This load is marked as a Super Load in the current lifecycle. Dedicated supplier-side eligibility controls are still being expanded.} not_requested {Super Load state is not active for this load.} other {Super Load state is not active for this load.}}","{status, select, request_submitted {यह Super Load request submit हो चुकी है और admin review का इंतज़ार कर रही है। Dedicated supplier-side eligibility controls अभी pending हैं, इसलिए current state admin-managed है।} under_review {यह Super Load request admin review में है। Review progress में रहने तक load details stable रखें।} approved_payment_pending {यह Super Load request approved है, लेकिन activation अभी भी off-platform payment confirmation step पर निर्भर है।} rejected {यह Super Load request approve नहीं हुई। Dedicated supplier readiness surface अभी pending है, इसलिए follow-up चाहिए तो support का उपयोग करें।} expired_or_closed {यह Super Load lifecycle बंद हो चुकी है। Current load status review करें और follow-up चाहिए तो support का उपयोग करें।} active {यह load current lifecycle में Super Load के रूप में marked है। Dedicated supplier-side eligibility controls अभी भी expand की जा रही हैं।} not_requested {इस load के लिए Super Load state active नहीं है।} other {इस load के लिए Super Load state active नहीं है।}}"
"supplierDashboardSuperLoadReadinessTitle","Super Load readiness","सुपर लोड तैयारी"
"supplierDashboardSuperLoadStatusValue","{status, select, request_submitted {Request submitted} under_review {Under review} approved_payment_pending {Approved - payment pending} rejected {Rejected} expired_or_closed {Closed} active {Active} not_requested {Not requested} other {Not requested}}","{status, select, request_submitted {अनुरोध जमा किया गया} under_review {समीक्षा में} approved_payment_pending {स्वीकृत - भुगतान लंबित} rejected {अस्वीकृत} expired_or_closed {बंद} active {सक्रिय} not_requested {अनुरोध नहीं किया गया} other {अनुरोध नहीं किया गया}}"
"supplierDashboardSuperLoadVerificationComplete","Verification complete","सत्यापन पूर्ण"
"supplierDashboardTrucksBooked","{booked}/{needed} trucks booked","{booked}/{needed} ट्रक बुक हुए"
"supplierDashboardWelcomeBack","Welcome back, {name}","फिर से स्वागत है, {name}"
"supplierFixVerification","Fix verification","सत्यापन ठीक करें"
"supplierLinkedTripAssignedLabel","Assigned: {date}","असाइन किया गया: {date}"
"supplierLinkedTripProofLabel","Proof status: {status}","प्रमाण स्थिति: {status}"
"supplierLinkedTripSubtitle","{material} - Trucker {truckerId} - Truck {truckId}","{material} - ट्रकर {truckerId} - ट्रक {truckId}"
"supplierLinkedTripTrackAction","Track trip","ट्रिप ट्रैक करें"
"supplierLoadActionFailureMessage","We could not complete that load action right now. Please try again.","यह लोड कार्रवाई अभी पूरी नहीं हो सकी। कृपया फिर प्रयास करें।"
"supplierLoadApproveBookingFailureMessage","Could not approve this booking right now. Please try again.","यह बुकिंग अभी स्वीकृत नहीं हो सकी। कृपया फिर प्रयास करें।"
"supplierLoadCancelFailureMessage","Could not cancel this load right now. Please try again.","यह लोड अभी रद्द नहीं हो सका। कृपया फिर प्रयास करें।"
"supplierLoadCardTrackLoad","Track load","लोड ट्रैक करें"
"supplierLoadCardTrucks","{booked}/{needed} trucks booked","{booked}/{needed} ट्रक बुक हुए"
"supplierLoadCardViewDetails","View details","विवरण देखें"
"supplierLoadCardViewHistory","View history","इतिहास देखें"
"supplierLoadCloseFailureMessage","Could not close this load right now. Please try again.","यह लोड अभी बंद नहीं हो सका। कृपया फिर प्रयास करें।"
"supplierLoadDetailActionUnavailableTitle","Action unavailable","कार्रवाई उपलब्ध नहीं है"
"supplierLoadDetailActionsSubtitle","Use these actions only after checking the latest status.","कार्रवाई करने से पहले नवीनतम स्थिति देखें।"
"supplierLoadDetailActivityTimelineTitle","Activity timeline","गतिविधि टाइमलाइन"
"supplierLoadDetailBodyType","Body type: {value}","बॉडी टाइप: {value}"
"supplierLoadDetailBookingAndTripLinkageTitle","Booking and trip linkage","बुकिंग और ट्रिप लिंक"
"supplierLoadDetailBookingLinkageDescription","See booking requests and linked trips together.","बुकिंग अनुरोध और लिंक्ड ट्रिप यहां साथ में देखें।"
"supplierLoadDetailBookingLinkageEmptyDescription","No booking requests or linked trips are available on this load yet.","इस लोड पर अभी कोई बुकिंग अनुरोध या लिंक्ड ट्रिप नहीं हैं।"
"supplierLoadDetailCancelAction","Cancel load","लोड रद्द करें"
"supplierLoadDetailCancelledSuccess","Load cancelled successfully","लोड सफलतापूर्वक रद्द किया गया"
"supplierLoadDetailCargoAndRequirementsTitle","Cargo and requirements","कार्गो और आवश्यकताएं"
"supplierLoadDetailCloseFilledOutsideAction","Close as filled outside app","ऐप के बाहर भरा हुआ दिखाकर बंद करें"
"supplierLoadDetailClosedFilledOutsideSuccess","Load marked as filled outside the app","लोड को ऐप के बाहर भरा हुआ चिन्हित किया गया"
"supplierLoadDetailCurrentStatus","Current status: {status}","वर्तमान स्थिति: {status}"
"supplierLoadDetailDestinationCity","Destination city: {value}","गंतव्य शहर: {value}"
"supplierLoadDetailDestinationPoint","Destination point: {value}","गंतव्य स्थान: {value}"
"supplierLoadDetailDistance","Distance: {value}","दूरी: {value}"
"supplierLoadDetailDriveTime","Drive time: {value}","ड्राइव समय: {value}"
"supplierLoadDetailFailureMessage","Could not load this load detail. Please try again.","लोड विवरण नहीं खुल पाया। कृपया फिर से कोशिश करें।"
"supplierLoadDetailHeroSubtitle","Pickup: {pickupDate}","पिकअप: {pickupDate}"
"supplierLoadDetailLinkedExecutionUnavailableTitle","Linked execution data unavailable","लिंक्ड निष्पादन डेटा उपलब्ध नहीं है"
"supplierLoadDetailLinkedTripsTitle","Linked trips","लिंक्ड ट्रिप"
"supplierLoadDetailLoadFailureTitle","Unable to load load detail","लोड विवरण लोड नहीं हो सका"
"supplierLoadDetailMaterial","Material: {value}","सामग्री: {value}"
"supplierLoadDetailNoBookingRequestsSubtitle","Booking requests will appear here once truckers respond to this load.","ट्रकर प्रतिक्रिया देंगे तो बुकिंग अनुरोध यहां दिखेंगे।"
"supplierLoadDetailNoBookingRequestsTitle","No booking requests yet","अभी कोई बुकिंग अनुरोध नहीं"
"supplierLoadDetailNoLinkedTripsSubtitle","Trips will appear here after you approve a booking.","बुकिंग स्वीकृत होने के बाद ट्रिप यहां दिखेंगी।"
"supplierLoadDetailNoLinkedTripsTitle","No linked trips yet","अभी कोई लिंक्ड ट्रिप नहीं"
"supplierLoadDetailNotFoundSubtitle","This load detail is not available right now. Return to My Loads and try again.","यह लोड विवरण अभी उपलब्ध नहीं है। मेरे लोड्स पर लौटें और फिर प्रयास करें।"
"supplierLoadDetailNotFoundTitle","Load not found","लोड नहीं मिला"
"supplierLoadDetailOriginCity","Origin city: {value}","मूल शहर: {value}"
"supplierLoadDetailOriginPoint","Origin point: {value}","मूल स्थान: {value}"
"supplierLoadDetailPickupDate","Pickup date: {value}","पिकअप तारीख: {value}"
"supplierLoadDetailRoutePreviewUnavailableMessage","Route preview details are unavailable for this load right now.","इस लोड का रूट प्रीव्यू अभी उपलब्ध नहीं है।"
"supplierLoadDetailRoutePreviewUnavailableTitle","Route preview unavailable","रूट प्रीव्यू उपलब्ध नहीं है"
"supplierLoadDetailScreenTitle","Load detail","लोड विवरण"
"supplierLoadDetailStatusAndActionsTitle","Status and actions","स्थिति और कार्रवाई"
"supplierLoadDetailTimelineCreatedDescription","This load was created.","यह लोड बनाया गया।"
"supplierLoadDetailTimelineCreatedTitle","Load created","लोड बनाया गया"
"supplierLoadDetailTimelinePublishedDescription","This load is published and visible to truckers.","यह लोड प्रकाशित है और ट्रकर को दिख रहा है।"
"supplierLoadDetailTimelinePublishedTitle","Load published","लोड प्रकाशित"
"supplierLoadDetailTimelineUpdatedDescription","Current status: {status}.","वर्तमान स्थिति: {status}।"
"supplierLoadDetailTimelineUpdatedTitle","Status updated","स्थिति अपडेट"
"supplierLoadDetailTyres","Tyres: {value}","टायर: {value}"
"supplierLoadDetailWeight","Weight: {value}","वजन: {value}"
"supplierLoadRejectBookingFailureMessage","Could not reject this booking right now. Please try again.","यह बुकिंग अभी अस्वीकृत नहीं हो सकी। कृपया फिर प्रयास करें।"
"supplierLoadStatusValue","{status, select, active {Active} assigned_partial {Assigned partial} assigned_full {Assigned full} in_transit {In transit} completed {Completed} filled_outside_app {Filled outside app} cancelled {Cancelled} expired {Expired} deactivated {Deactivated} unknown {Unknown} other {Unknown}}","{status, select, active {सक्रिय} assigned_partial {आंशिक रूप से असाइन} assigned_full {पूरी तरह असाइन} in_transit {रास्ते में} completed {पूर्ण} filled_outside_app {ऐप के बाहर भरा गया} cancelled {रद्द} expired {समाप्त} deactivated {निष्क्रिय} unknown {Unknown} other {Unknown}}"
"supplierLoadSupportFailureMessage","Could not refresh bookings or trips right now. Please retry.","बुकिंग या ट्रिप अभी रिफ्रेश नहीं हुई। कृपया फिर से प्रयास करें।"
"supplierMyLoadsEmptyActiveSubtitle","Post your first load to start receiving booking requests and execution updates here.","अपना पहला लोड पोस्ट करें ताकि बुकिंग अनुरोध और कार्यान्वयन अपडेट्स यहाँ दिखने लगें।"
"supplierMyLoadsEmptyActiveTitle","No active loads yet","अभी कोई सक्रिय लोड नहीं है"
"supplierMyLoadsEmptyCompletedSubtitle","Completed, cancelled, expired, and externally filled loads will appear here once active work is closed out.","पूर्ण, रद्द, समाप्त, और ऐप के बाहर भरे लोड सक्रिय कार्य बंद होने पर यहाँ दिखाई देंगे।"
"supplierMyLoadsEmptyCompletedTitle","No completed loads yet","अभी कोई पूर्ण लोड नहीं है"
"supplierMyLoadsFailureMessage","We could not load your supplier loads right now. Retry shortly to refresh the latest load list.","अभी आपके सप्लायर लोड्स लोड नहीं हो सके। नवीनतम लोड सूची रीफ्रेश करने के लिए थोड़ी देर बाद फिर कोशिश करें।"
"supplierMyLoadsLoadFailureTitle","Unable to load your supplier loads","आपके सप्लायर लोड्स लोड नहीं हो सके"
"supplierMyLoadsLoadMore","Load more loads","और loads लोड करें"
"supplierMyLoadsLoadingMore","Loading more loads...","और loads लोड हो रही हैं..."
"supplierMyLoadsMoreUnavailableTitle","Unable to load more supplier loads","और supplier loads लोड नहीं हो सके"
"supplierMyLoadsOpenActiveLoads","Open active loads","सक्रिय लोड्स खोलें"
"supplierMyLoadsPaginationFailureMessage","We could not load more supplier loads right now. Retry shortly to refresh the latest load history.","अभी और supplier loads लोड नहीं हो सके। Latest load history refresh करने के लिए थोड़ी देर बाद फिर कोशिश करें।"
"supplierMyLoadsSubtitle","Monitor active supplier loads, booking demand, and completed load history from one place.","एक ही जगह से सक्रिय सप्लायर लोड्स, बुकिंग डिमांड, और पूर्ण लोड इतिहास देखें।"
"supplierMyLoadsTitle","My loads","मेरे लोड्स"
"supplierPostLoadAdvancePercentageLabel","Advance percentage: {value}%","अग्रिम प्रतिशत: {value}%"
"supplierPostLoadCargoDetailsTitle","Cargo details","कार्गो विवरण"
"supplierPostLoadCompleteVerificationAction","Complete verification to post load","लोड पोस्ट करने के लिए वेरिफिकेशन पूरा करें"
"supplierPostLoadCreatedSuccess","Load created successfully","लोड सफलतापूर्वक बनाया गया"
"supplierPostLoadDestinationCityLabel","Destination city","गंतव्य शहर"
"supplierPostLoadDestinationExactLocationHint","Drop point / delivery point","ड्रॉप बिंदु / डिलीवरी बिंदु"
"supplierPostLoadDestinationExactLocationLabel","Destination exact location","गंतव्य सटीक स्थान"
"supplierPostLoadDestinationPending","Destination pending","गंतव्य लंबित"
"supplierPostLoadDistanceLabel","Distance: {value} km","दूरी: {value} किमी"
"supplierPostLoadDriveTimeLabel","Est. drive time: {minutes} min","अनुमानित ड्राइव समय: {minutes} मिनट"
"supplierPostLoadHeroHelper","Manual city entry still works if route services do not return a preview. Your form data stays intact on validation or submission failure.","अगर route services preview नहीं लौटातीं तब भी manual city entry काम करती है। Validation या submission failure पर आपका form data सुरक्षित रहता है।"
"supplierPostLoadHeroSubtitle","Use one clean scrolling form to define route, cargo, vehicle requirements, pricing, and pickup timing.","Route, cargo, vehicle requirements, pricing और pickup timing define करने के लिए एक clean scrolling form का उपयोग करें।"
"supplierPostLoadHeroTitle","Create a supplier load","सप्लायर लोड बनाएं"
"supplierPostLoadMaterialLabel","Material","सामग्री"
"supplierPostLoadOriginCityLabel","Origin city","मूल शहर"
"supplierPostLoadOriginExactLocationHint","Warehouse / pickup point","गोदाम / पिकअप बिंदु"
"supplierPostLoadOriginExactLocationLabel","Origin exact location","मूल सटीक स्थान"
"supplierPostLoadOriginPending","Origin pending","मूल लंबित"
"supplierPostLoadPickupDateLabel","Pickup date","पिकअप तिथि"
"supplierPostLoadPostingBlockedTitle","Posting is blocked","पोस्टिंग अवरुद्ध है"
"supplierPostLoadPriceAmountLabel","Price amount (₹)","मूल्य राशि (₹)"
"supplierPostLoadPriceTypeTitle","Price type","मूल्य प्रकार"
"supplierPostLoadPriceTypeValue","{type, select, fixed {Fixed} per_ton {Per Ton} other {Unknown}}","{type, select, fixed {निश्चित} per_ton {प्रति टन} other {अज्ञात}}"
"supplierPostLoadPricingScheduleTitle","Pricing and schedule","मूल्य और अनुसूची"
"supplierPostLoadProfileUnavailableMessage","Supplier profile is unavailable right now. Retry shortly before posting this load.","अभी supplier profile उपलब्ध नहीं है। यह load post करने से पहले थोड़ी देर बाद फिर कोशिश करें।"
"supplierPostLoadReviewSummaryTitle","Review summary","सारांश समीक्षा करें"
"supplierPostLoadRoutePreviewTitle","Route preview","मार्ग पूर्वावलोकन"
"supplierPostLoadRoutePreviewUnavailableMessage","Route distance and duration could not be derived right now. You can still continue with manual city-based posting.","अभी route distance और duration derive नहीं हो सके। आप manual city-based posting के साथ फिर भी आगे बढ़ सकते हैं।"
"supplierPostLoadRoutePreviewUnavailableTitle","Route preview unavailable","मार्ग पूर्वावलोकन अनुपलब्ध"
"supplierPostLoadRouteTimingTitle","Route and timing","मार्ग और समय"
"supplierPostLoadSearchCityHint","Search city","शहर खोजें"
"supplierPostLoadSubmissionFailedTitle","Submission failed","सबमिशन विफल रहा"
"supplierPostLoadSubmissionFailureMessage","We could not prepare this load submission right now. Review the load details and retry shortly.","अभी यह load submission तैयार नहीं हो सकी। Load details review करें और थोड़ी देर बाद फिर कोशिश करें।"
"supplierPostLoadSubmitAction","Post Load","लोड पोस्ट करें"
"supplierPostLoadSubmitFailureMessage","We could not create this load right now. Review the load details and retry shortly.","अभी यह load create नहीं हो सकी। Load details review करें और थोड़ी देर बाद फिर कोशिश करें।"
"supplierPostLoadTitle","Post Load","लोड पोस्ट करें"
"supplierPostLoadTruckBodyTypeLabel","Truck body type","ट्रक बॉडी प्रकार"
"supplierPostLoadTrucksNeededLabel","Trucks needed","ट्रकों की आवश्यकता"
"supplierPostLoadTrucksNeededTitle","Trucks needed","ट्रकों की आवश्यकता"
"supplierPostLoadTyreRequirementTitle","Tyre requirement","टायर आवश्यकता"
"supplierPostLoadVehicleRequirementsTitle","Vehicle requirements","वाहन आवश्यकताएं"
"supplierPostLoadVerificationCheckingMessage","Checking supplier verification before enabling load posting.","Load posting enable करने से पहले supplier verification जांची जा रही है।"
